"Biermann et Feldman"	0.0
"Neider et Jansen"	87.0
"Unaire (CNF)"	86.0
"Binaire (CNF)"	91.0
"Heule et Verwer (CNF)"	100.0
"Unaire (Non-CNF)"	99.0
"Binaire (Non-CNF)"	100.0
"Heule et Verwer (Non-CNF)"	85.0
